participant,condition,order,gender,bc_count_t0,bc_freq_t0,bc_count_vocal_t0,bc_count_nod_t0,bc_ratio_t0,bc_freqs_per_min_t0,bc_avg_fpm_t0,bc_std_fpm_t0,bc_max_fpm_t0,bc_min_fpm_t0,bc_freqs_per_min_vocal_t0,bc_freqs_per_min_nod_t0,bc_freqs_per_min_both_t0,bc_count_t1,bc_freq_t1,bc_count_vocal_t1,bc_count_nod_t1,bc_ratio_t1,bc_freqs_per_min_t1,bc_avg_fpm_t1,bc_std_fpm_t1,bc_max_fpm_t1,bc_min_fpm_t1,bc_freqs_per_min_vocal_t1,bc_freqs_per_min_nod_t1,bc_freqs_per_min_both_t1,bc_count_all,bc_freq_all,bc_count_vocal_all,bc_count_nod_all,bc_ratio_all,bc_freqs_per_min_all,bc_freqs_per_min_vocal_all,bc_freqs_per_min_nod_all,bc_freqs_per_min_both_all,bc_avg_fpm_all,bc_std_fpm_all,bc_max_fpm_all,bc_min_fpm_all,what_action_counts,talk_ratio,ta_impact,listening_behavior,closeness,competence,warmth,discomfort
50,naive,0,Male,34,4.857142857142857,22,12,1.8333333333333333,"[4, 4, 6, 10, 8, 7, 5, 2, 3, 3, 6, 5, 4, 3, 2, 2, 4, 5, 3, 4, 3, 6, 10, 9]",4.916666666666667,2.3614378858841256,10,2,"[2, 4, 6, 9, 7, 5, 3, 0, 1, 1, 4, 4, 3, 3, 2, 2, 3, 4, 2, 3, 3, 3, 5, 4]","[2, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 3, 5, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",14,3.783783783783784,9,5,1.8,"[7, 6, 7, 7, 4, 4, 3, 1, 1, 2, 2]",4.0,2.2962419891481978,7,1,"[4, 3, 4, 5, 3, 3, 2, 1, 1, 2, 2]","[3, 3, 3, 2, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",48,4.485981308411216,31,17,3.633333333333333,"[4, 4, 6, 10, 8, 7, 5, 2, 3, 3, 6, 5, 4, 3, 2, 2, 4, 5, 3, 4, 3, 6, 10, 9, 7, 6, 7, 7, 4, 4, 3, 1, 1, 2, 2]","[2, 4, 6, 9, 7, 5, 3, 0, 1, 1, 4, 4, 3, 3, 2, 2, 3, 4, 2, 3, 3, 3, 5, 4, 4, 3, 4, 5, 3, 3, 2, 1, 1, 2, 2]","[2, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 3, 5, 5, 3, 3, 3, 2, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.628571428571429,2.379504321560802,10,1,[],2.2187473977711907,2.2,2.5,1.8333333333333333,4.0,4.166666666666667,3.8333333333333335
51,naive,1,Female,19,2.8287841191067,9,10,0.9,"[11, 5, 4, 2, 5, 3, 3, 3, 0, 0, 2, 3, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2.0869565217391304,2.5522887167720305,11,0,"[6, 2, 2, 0, 1, 1, 1, 1, 0, 0, 1, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 3, 2, 2, 4, 2, 2, 2, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",13,1.8571428571428568,7,6,1.1666666666666667,"[2, 1, 1, 0, 0, 0, 0, 0, 2, 4, 6, 6, 6, 4, 2, 2, 0, 0, 1, 2, 2, 3, 2, 1]",1.9583333333333333,1.9252525086913204,6,0,"[2, 1, 1, 0, 0, 0, 0, 0, 2, 3, 4, 4, 3, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 3, 2, 1, 1, 0, 0, 1, 2, 2, 3, 2, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",32,2.332928311057108,16,16,2.066666666666667,"[11, 5, 4, 2, 5, 3, 3, 3, 0, 0, 2, 3, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 2, 4, 6, 6, 6, 4, 2, 2, 0, 0, 1, 2, 2, 3, 2, 1]","[6, 2, 2, 0, 1, 1, 1, 1, 0, 0, 1, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 2, 3, 4, 4, 3, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 3, 2, 2, 4, 2, 2, 2, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 3, 2, 1, 1, 0, 0, 1, 2, 2, 3, 2, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.021276595744681,2.254917667998599,11,0,[],0.7127282758692565,3.6,3.75,3.1666666666666665,5.5,3.8333333333333335,1.0
61,datadriven,0,Male,33,4.714285714285714,0,33,0.0,"[5, 5, 5, 5, 5, 5, 7, 9, 9, 5, 5, 3, 3, 2, 0, 0, 0, 0, 0, 4, 8, 9, 9, 5]",4.5,2.98607881119482,9,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 5, 5, 5, 5, 5, 7, 9, 9, 5, 5, 3, 3, 2, 0, 0, 0, 0, 0, 4, 8, 9, 9, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",71,10.142857142857142,0,68,0.0422535211267605,"[13, 16, 16, 15, 15, 16, 16, 14, 14, 10, 7, 7, 3, 8, 10, 12, 13, 15, 16, 12, 10, 4, 1, 1]",11.0,4.8218253804964775,16,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 15, 14, 13, 14, 15, 16, 14, 14, 10, 7, 7, 3, 8, 10, 12, 13, 14, 15, 11, 9, 4, 1, 1]","[1, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]",104,7.428571428571429,0,101,0.0422535211267605,"[5, 5, 5, 5, 5, 5, 7, 9, 9, 5, 5, 3, 3, 2, 0, 0, 0, 0, 0, 4, 8, 9, 9, 5, 13, 16, 16, 15, 15, 16, 16, 14, 14, 10, 7, 7, 3, 8, 10, 12, 13, 15, 16, 12, 10, 4, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 5, 5, 5, 5, 5, 7, 9, 9, 5, 5, 3, 3, 2, 0, 0, 0, 0, 0, 4, 8, 9, 9, 5, 12, 15, 14, 13, 14, 15, 16, 14, 14, 10, 7, 7, 3, 8, 10, 12, 13, 14, 15, 11, 9, 4, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]",7.75,5.161960221982859,16,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2.063301929923057,1.0,2.75,2.0,3.0,1.3333333333333333,3.333333333333333
62,datadriven,0,Female,19,2.746987951807229,0,17,0.1052631578947368,"[2, 2, 4, 2, 4, 4, 2, 3, 3, 3, 4, 4, 4, 4, 4, 5, 3, 3, 2, 2, 2, 2, 3, 1]",3.0,1.0,5,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 3, 1, 3, 3, 2, 2, 2, 2, 3, 4, 4, 4, 4, 5, 3, 3, 2, 2, 2, 2, 3, 1]","[0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9,1.806020066889632,0,9,0.0,"[1, 1, 2, 4, 6, 6, 6, 4, 1, 1, 0, 0, 0, 0, 0, 1]",2.0625,2.2491317769308226,6,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 2, 4, 6, 6, 6, 4, 1, 1, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",28,2.3529411764705883,0,26,0.1052631578947368,"[2, 2, 4, 2, 4, 4, 2, 3, 3, 3, 4, 4, 4, 4, 4, 5, 3, 3, 2, 2, 2, 2, 3, 1, 1, 1, 2, 4, 6, 6, 6, 4, 1, 1, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 3, 1, 3, 3, 2, 2, 2, 2, 3, 4, 4, 4, 4, 5, 3, 3, 2, 2, 2, 2, 3, 1, 1, 1, 2, 4, 6, 6, 6, 4, 1, 1, 0, 0, 0, 0, 0, 1]","[0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.625,1.6835602157333132,6,0,"[1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.6061740184075597,3.0,3.75,3.1666666666666665,6.166666666666667,3.333333333333333,4.333333333333333
63,datadriven,0,Male,28,4.0,0,28,0.0,"[2, 4, 2, 2, 2, 0, 1, 1, 3, 3, 2, 4, 5, 7, 7, 6, 3, 1, 3, 2, 3, 5, 7, 10]",3.5416666666666665,2.380111458641287,10,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4, 2, 2, 2, 0, 1, 1, 3, 3, 2, 4, 5, 7, 7, 6, 3, 1, 3, 2, 3, 5, 7, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",16,4.173913043478261,0,16,0.0,"[11, 9, 3, 3, 2, 2, 3, 2, 2, 3, 2, 2]",3.6666666666666665,2.896357866163794,11,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 9, 3, 3, 2, 2, 3, 2, 2, 3, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",44,4.061538461538461,0,44,0.0,"[2, 4, 2, 2, 2, 0, 1, 1, 3, 3, 2, 4, 5, 7, 7, 6, 3, 1, 3, 2, 3, 5, 7, 10, 11, 9, 3, 3, 2, 2, 3, 2, 2, 3, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4, 2, 2, 2, 0, 1, 1, 3, 3, 2, 4, 5, 7, 7, 6, 3, 1, 3, 2, 3, 5, 7, 10, 11, 9, 3, 3, 2, 2, 3, 2, 2, 3, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.583333333333333,2.5644470922381863,11,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0871501836936035,1.0,1.75,2.0,4.333333333333333,3.8333333333333335,1.6666666666666667
64,datadriven,0,Female,43,6.142857142857143,0,43,0.0,"[10, 7, 7, 10, 7, 7, 6, 3, 3, 3, 0, 0, 2, 6, 11, 15, 15, 12, 7, 4, 3, 2, 3, 4]",6.125,4.166458328124739,15,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 7, 7, 10, 7, 7, 6, 3, 3, 3, 0, 0, 2, 6, 11, 15, 15, 12, 7, 4, 3, 2, 3, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",47,10.930232558139537,0,45,0.0425531914893617,"[15, 15, 13, 7, 8, 8, 10, 11, 10, 14, 11, 10, 7, 5]",10.285714285714286,3.0101867865293537,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[15, 15, 13, 7, 8, 8, 10, 11, 10, 12, 9, 8, 5, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0]",90,7.964601769911503,0,88,0.0425531914893617,"[10, 7, 7, 10, 7, 7, 6, 3, 3, 3, 0, 0, 2, 6, 11, 15, 15, 12, 7, 4, 3, 2, 3, 4, 15, 15, 13, 7, 8, 8, 10, 11, 10, 14, 11, 10, 7, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 7, 7, 10, 7, 7, 6, 3, 3, 3, 0, 0, 2, 6, 11, 15, 15, 12, 7, 4, 3, 2, 3, 4, 15, 15, 13, 7, 8, 8, 10, 11, 10, 12, 9, 8, 5, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0]",7.657894736842105,4.28139374619671,15,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",6.2767359679176895,3.6,3.75,3.0,3.5,4.0,4.666666666666667
65,datadriven,0,Male,47,6.714285714285714,0,47,0.0,"[9, 6, 3, 5, 5, 7, 4, 2, 3, 3, 4, 11, 10, 8, 7, 0, 5, 7, 9, 11, 12, 11, 9, 9]",6.666666666666667,3.223179934302286,12,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 6, 3, 5, 5, 7, 4, 2, 3, 3, 4, 11, 10, 8, 7, 0, 5, 7, 9, 11, 12, 11, 9, 9]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",40,9.677419354838708,0,26,0.35,"[11, 11, 11, 7, 10, 8, 12, 16, 13, 10, 7, 3, 6]",9.615384615384617,3.24721091064699,16,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[8, 7, 7, 6, 9, 5, 5, 6, 3, 3, 4, 3, 6]","[3, 4, 4, 1, 1, 3, 7, 10, 10, 7, 3, 0, 0]",87,7.81437125748503,0,73,0.35,"[9, 6, 3, 5, 5, 7, 4, 2, 3, 3, 4, 11, 10, 8, 7, 0, 5, 7, 9, 11, 12, 11, 9, 9, 11, 11, 11, 7, 10, 8, 12, 16, 13, 10, 7, 3, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 6, 3, 5, 5, 7, 4, 2, 3, 3, 4, 11, 10, 8, 7, 0, 5, 7, 9, 11, 12, 11, 9, 9, 8, 7, 7, 6, 9, 5, 5, 6, 3, 3, 4, 3, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 1, 1, 3, 7, 10, 10, 7, 3, 0, 0]",7.702702702702703,3.5249294788028367,16,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2.650766006517491,2.0,3.25,2.5,4.333333333333333,6.0,1.3333333333333333
66,datadriven,1,Female,12,1.93029490616622,0,12,0.0,"[0, 0, 0, 0, 0, 0, 1, 2, 5, 5, 4, 3, 0, 2, 4, 4, 7, 5, 3, 3, 0]",2.2857142857142856,2.1633936555429614,7,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 2, 5, 5, 4, 3, 0, 2, 4, 4, 7, 5, 3, 3, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9,1.2857142857142858,0,9,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 3, 1, 1, 0, 1, 4, 4, 4, 3]",1.1666666666666667,1.4907119849998598,4,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 3, 1, 1, 0, 1, 4, 4, 4, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",21,1.5889029003783102,0,21,0.0,"[0, 0, 0, 0, 0, 0, 1, 2, 5, 5, 4, 3, 0, 2, 4, 4, 7, 5, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 3, 1, 1, 0, 1, 4, 4, 4, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 2, 5, 5, 4, 3, 0, 2, 4, 4, 7, 5, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 3, 1, 1, 0, 1, 4, 4, 4, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.6888888888888889,1.9185900172577224,7,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.2719412287091547,4.2,4.0,2.6666666666666665,7.333333333333333,4.0,1.6666666666666667
67,datadriven,1,Female,3,1.111111111111111,0,3,0.0,"[0, 2, 3, 3, 3, 1, 0]",1.7142857142857142,1.27775312999988,3,0,"[0, 0, 0, 0, 0, 0, 0]","[0, 2, 3, 3, 3, 1, 0]","[0, 0, 0, 0, 0, 0, 0]",2,0.2857142857142857,0,2,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0]",0.3333333333333333,0.4714045207910317,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,0.5154639175257733,0,5,0.0,"[0, 2, 3, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 2, 3, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.6451612903225806,0.9349275320122218,3,0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.2819907937053254,1.0,3.5,3.333333333333333,6.0,5.333333333333333,2.333333333333333
68,datadriven,1,Female,1,0.3015075376884422,0,1,0.0,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",0.4,0.4898979485566356,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,1.0,0,5,0.2857142857142857,"[2, 2, 1, 2, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 1]",0.9583333333333334,0.8887803753208975,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 1, 2, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]",8,0.7754442649434572,0,6,0.2857142857142857,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 2, 1, 2, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 2, 1, 2, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]",0.7941176470588235,0.8324100998873475,2,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0]",0.9747776800805114,3.6,3.0,2.0,4.333333333333333,5.333333333333333,3.5
